"Estimation de population au 1er janvier, par région, sexe et grande classe d'âge",,,,,,,,,,,,,,,,,,,
Année 2021,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Régions,,Ensemble,,,,,,Hommes,,,,,,Femmes,,,,,
,,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
Auvergne-Rhône-Alpes,84,1954790.00,1911198.00,2089709.00,1356765.00,780136.00,8092598.00,1.001.596,949.701,1.034.549,639.953,306.472,3.932.271,953.194,961.497,1.055.160,716.812,473.664,4.160.327
Bourgogne-Franche-Comté,27,624964.00,589828.00,713693.00,546216.00,311504.00,2786205.00,321.285,297.909,352.245,260.582,122.796,1.354.817,303.679,291.919,361.448,285.634,188.708,1.431.388
Bretagne,53,773706.00,715578.00,872568.00,651317.00,358128.00,3371297.00,397.592,361.876,433.970,307.763,135.464,1.636.665,376.114,353.702,438.598,343.554,222.664,1.734.632
Centre-Val-de-Loire,24,597813.00,541260.00,658371.00,485364.00,279623.00,2562431.00,306.025,269.011,325.256,230.250,111.217,1.241.759,291.788,272.249,333.115,255.114,168.406,1.320.672
Corse,94,70877.00,76723.00,93815.00,66789.00,41069.00,349273.00,36.656,37.111,46.050,32.391,17.280,169.488,34.221,39.612,47.765,34.398,23.789,179.785
Grand Est,44,1258497.00,1292184.00,1444359.00,1010215.00,519562.00,5524817.00,644.983,648.917,715.317,479.382,202.077,2.690.676,613.514,643.267,729.042,530.833,317.485,2.834.141
Hauts-de-France,32,1522692.00,1439513.00,1520387.00,1014239.00,480631.00,5977462.00,779.623,716.989,751.486,470.989,176.588,2.895.675,743.069,722.524,768.901,543.250,304.043,3.081.787
Île-de-France,11,3157907.00,3430231.00,3205207.00,1677507.00,855577.00,12326429.00,1.606.096,1.657.090,1.568.234,776.245,334.164,5.941.829,1.551.811,1.773.141,1.636.973,901.262,521.413,6.384.600
Normandie,28,777468.00,727658.00,838557.00,626514.00,335895.00,3306092.00,398.982,362.687,413.172,294.577,127.835,1.597.253,378.486,364.971,425.385,331.937,208.060,1.708.839
Nouvelle-Aquitaine,75,1294248.00,1277782.00,1565929.00,1201320.00,700488.00,6039767.00,661.656,633.100,765.167,565.683,275.150,2.900.756,632.592,644.682,800.762,635.637,425.338,3.139.011
Occitanie,76,1331996.00,1338035.00,1536240.00,1123746.00,655734.00,5985751.00,682.011,663.682,751.530,530.924,263.072,2.891.219,649.985,674.353,784.710,592.822,392.662,3.094.532
Pays de la Loire,52,934424.00,859617.00,980032.00,683283.00,380704.00,3838060.00,479.669,429.792,487.136,323.332,148.103,1.868.032,454.755,429.825,492.896,359.951,232.601,1.970.028
Provence-Alpes-Côte d'Azur,93,1133997.00,1109264.00,1313292.00,941205.00,591903.00,5089661.00,581.292,544.066,632.061,436.441,235.920,2.429.780,552.705,565.198,681.231,504.764,355.983,2.659.881
France métropolitaine,,15433379.00,15308871.00,16832159.00,11384480.00,6290954.00,65249843.00,7.897.466,7.571.931,8.276.173,5.348.512,2.456.138,31.550.220,7.535.913,7.736.940,8.555.986,6.035.968,3.834.816,33.699.623
Guadeloupe ,1,89367.00,71217.00,107207.00,72194.00,35872.00,375857.00,44.718,31.700,46.230,33.517,14.308,170.473,44.649,39.517,60.977,38.677,21.564,205.384
Martinique ,2,74720.00,66012.00,102651.00,73174.00,38537.00,355094.00,37.625,29.900,44.778,33.827,15.523,161.653,37.095,36.112,57.873,39.347,23.014,193.441
Guyane,3,121039.00,81713.00,62205.00,22613.00,6501.00,294071.00,59.927,37.329,30.085,11.074,2.792,141.207,61.112,44.384,32.120,11.539,3.709,152.864
La Réunion,4,254109.00,200905.00,238075.00,119572.00,45789.00,858450.00,127.914,92.101,112.487,55.956,17.850,406.308,126.195,108.804,125.588,63.616,27.939,452.142
Mayotte,6,155341.00,76842.00,44315.00,9827.00,2601.00,288926.00,76.828,32.273,22.247,5.135,1.227,137.710,78.513,44.569,22.068,4.692,1.374,151.216
DOM,,694576.00,496689.00,554453.00,297380.00,129300.00,2172398.00,347.012,223.303,255.827,139.509,51.700,1.017.351,347.564,273.386,298.626,157.871,77.600,1.155.047
France métropolitaine et DOM,,16127955.00,15805560.00,17386612.00,11681860.00,6420254.00,67422241.00,8.244.478,7.795.234,8.532.000,5.488.021,2.507.838,32.567.571,7.883.477,8.010.326,8.854.612,6.193.839,3.912.416,34.854.670
,,,,,,,,,,,,,,,,,,,
Source : Insee - Estimations de population (résultats provisoires arrêtés fin 2020),,,,,,,,,,,,,,,,,,,
